dividend_amount,declared_date,ex_dividend_date,record_date,payment_date,return_of_capital_percentage
0.3627,2025-04-16,2025-04-17,2025-04-17,2025-04-21,
0.3454,2025-04-23,2025-04-24,2025-04-24,2025-04-25,0.23
0.6229,2025-04-30,2025-05-01,2025-05-01,2025-05-02,87.69
0.3767,2025-05-07,2025-05-08,2025-05-08,2025-05-09,97.94
0.3820,2025-05-14,2025-05-15,2025-05-15,2025-05-16,100.00
0.3991,2025-05-21,2025-05-22,2025-05-22,2025-05-23,100.00
0.3860,2025-05-28,2025-05-29,2025-05-29,2025-05-30,96.94
0.3455,2025-06-04,2025-06-05,2025-06-05,2025-06-06,100.00
0.4031,2025-06-11,2025-06-12,2025-06-12,2025-06-13,100.00
0.4056,2025-06-18,2025-06-20,2025-06-20,2025-06-23,100.00
0.3767,2025-06-25,2025-06-26,2025-06-26,2025-06-27,96.83
0.4223,2025-07-02,2025-07-03,2025-07-03,2025-07-07,99.14
0.3488,2025-07-09,2025-07-10,2025-07-10,2025-07-11,100.00
0.3730,2025-07-16,2025-07-17,2025-07-17,2025-07-18,100.00
0.3723,2025-07-23,2025-07-24,2025-07-24,2025-07-25,100.00
0.4151,2025-07-30,2025-07-31,2025-07-31,2025-08-01,99.55
0.3893,2025-08-06,2025-08-07,2025-08-07,2025-08-08,84.18
0.4056,2025-08-13,2025-08-14,2025-08-14,2025-08-15,20.03
0.3993,2025-08-20,2025-08-21,2025-08-21,2025-08-22,100.00
0.3964,2025-08-27,2025-08-28,2025-08-28,2025-08-29,97.43
0.3825,2025-09-03,2025-09-04,2025-09-04,2025-09-05,100.00
0.3838,2025-09-10,2025-09-11,2025-09-11,2025-09-12,38.46
0.4204,2025-09-17,2025-09-18,2025-09-18,2025-09-19,100.00
0.4125,2025-09-24,2025-09-25,2025-09-25,2025-09-26,95.46
0.4093,2025-10-01,2025-10-02,2025-10-02,2025-10-03,40.93
0.4307,2025-10-08,2025-10-09,2025-10-09,2025-10-10,100.00
0.4066,2025-10-14,2025-10-15,2025-10-15,2025-10-16,100.00
0.5788,2025-10-21,2025-10-22,2025-10-22,2025-10-23,67.85
0.4634,2025-10-28,2025-10-29,2025-10-29,2025-10-30,59.13
0.4595,2025-11-04,2025-11-05,2025-11-05,2025-11-06,0.00
0.4544,2025-11-11,2025-11-12,2025-11-12,2025-11-13,100.00
0.4175,2025-11-18,2025-11-19,2025-11-19,2025-11-20,0.00
0.4394,2025-11-25,2025-11-26,2025-11-26,2025-11-28,20.00
0.4347,2025-12-02,2025-12-03,2025-12-04,2025-12-04,99.43
0.3984,2025-12-09,2025-12-10,2025-12-10,2025-12-11,98.11
0.3786,2025-12-16,2025-12-17,2025-12-17,2025-12-18,97.08
0.4403,2025-12-23,2025-12-24,2025-12-24,2025-12-26,11.55
0.4401,2025-12-30,2025-12-31,2025-12-31,2026-01-02,99.47
0.5040,2026-01-06,2026-01-07,2026-01-07,2026-01-08,86.94
0.5196,2026-01-13,2026-01-14,2026-01-14,2026-01-15,100.00
0.5267,2026-01-20,2026-01-21,2026-01-21,2026-01-22,100.00
0.4826,2026-01-27,2026-01-28,2026-01-28,2026-01-29,100.00
0.5253,2026-02-03,2026-02-04,2026-02-04,2026-02-05,0.00
0.5293,2026-02-10,2026-02-11,2026-02-11,2026-02-12,34.54
0.5259,2026-02-17,2026-02-18,2026-02-18,2026-02-19,100.00
0.4686,2026-02-24,2026-02-25,2026-02-25,2026-02-26,100.00
0.4577,2026-03-03,2026-03-04,2026-03-04,2026-03-05,89.68
0.4384,2026-03-10,2026-03-11,2026-03-11,2026-03-12,0.00
0.3851,2026-03-17,2026-03-18,2026-03-18,2026-03-19,0.00
0.4912,2026-03-24,2026-03-25,2026-03-25,2026-03-26,0.00
0.4089,2026-03-31,2026-04-01,2026-04-01,2026-04-02,50.70
0.4406,2026-04-07,2026-04-08,2026-04-08,2026-04-09,65.56
0.5384,2026-04-14,2026-04-15,2026-04-15,2026-04-16,66.77
0.5008,2026-04-21,2026-04-22,2026-04-22,2026-04-23,100.00
0.6041,2026-04-28,2026-04-29,2026-04-29,2026-04-30,100.00
0.6024,2026-05-05,2026-05-06,2026-05-06,2026-05-07,100.00
0.6629,2026-05-12,2026-05-13,2026-05-13,2026-05-14,100.00
