dividend_amount,declared_date,ex_dividend_date,record_date,payment_date,return_of_capital_percentage
0.2636,2025-06-09,2025-06-10,2025-06-10,2025-06-11,
0.1051,2025-06-16,2025-06-17,2025-06-17,2025-06-18,
0.2021,2025-06-23,2025-06-24,2025-06-24,2025-06-25,
0.1557,2025-06-30,2025-07-01,2025-07-01,2025-07-02,
0.1738,2025-07-07,2025-07-08,2025-07-08,2025-07-09,
0.1536,2025-07-14,2025-07-15,2025-07-15,2025-07-16,
0.2472,2025-07-21,2025-07-22,2025-07-22,2025-07-23,
0.2284,2025-07-28,2025-07-29,2025-07-29,2025-07-30,
0.2926,2025-08-04,2025-08-05,2025-08-05,2025-08-06,
0.2138,2025-08-11,2025-08-12,2025-08-12,2025-08-13,
0.2191,2025-08-18,2025-08-19,2025-08-19,2025-08-20,
0.2152,2025-08-25,2025-08-26,2025-08-26,2025-08-27,
0.5507,2025-09-02,2025-09-03,2025-09-03,2025-09-04,
0.2392,2025-09-08,2025-09-09,2025-09-09,2025-09-10,
0.2023,2025-09-15,2025-09-16,2025-09-16,2025-09-17,
0.2128,2025-09-22,2025-09-23,2025-09-23,2025-09-24,
0.4578,2025-09-29,2025-09-30,2025-09-30,2025-10-01,
0.2358,2025-10-06,2025-10-07,2025-10-07,2025-10-08,
0.2645,2025-10-13,2025-10-14,2025-10-14,2025-10-15,
0.2711,2025-10-20,2025-10-21,2025-10-21,2025-10-22,
0.2711,2025-10-27,2025-10-28,2025-10-28,2025-10-29,
0.2861,2025-11-03,2025-11-04,2025-11-04,2025-11-05,
0.3084,2025-11-10,2025-11-12,2025-11-12,2025-11-13,
0.3343,2025-11-17,2025-11-18,2025-11-18,2025-11-19,
0.5843,2025-11-24,2025-11-25,2025-11-25,2025-11-26,
0.3987,2025-12-01,2025-12-02,2025-12-02,2025-12-03,
0.2684,2025-12-08,2025-12-09,2025-12-09,2025-12-10,
0.2623,2025-12-15,2025-12-16,2025-12-16,2025-12-17,
0.2320,2025-12-22,2025-12-23,2025-12-23,2025-12-24,
0.1724,2025-12-29,2025-12-30,2025-12-30,2025-12-31,
0.1500,2026-01-05,2026-01-06,2026-01-06,2026-01-07,
0.2036,2026-01-12,2026-01-13,2026-01-13,2026-01-14,
0.2075,2026-01-20,2026-01-21,2026-01-21,2026-01-22,
0.1752,2026-01-26,2026-01-27,2026-01-27,2026-01-28,
0.2321,2026-02-02,2026-02-03,2026-02-03,2026-02-04,
0.2422,2026-02-09,2026-02-10,2026-02-10,2026-02-11,
0.3143,2026-02-17,2026-02-18,2026-02-18,2026-02-19,
0.2407,2026-02-23,2026-02-24,2026-02-24,2026-02-25,
0.4242,2026-03-02,2026-03-03,2026-03-03,2026-03-04,
0.2699,2026-03-09,2026-03-10,2026-03-10,2026-03-11,
0.2703,2026-03-16,2026-03-17,2026-03-17,2026-03-18,
0.2708,2026-03-23,2026-03-24,2026-03-24,2026-03-25,
0.1817,2026-03-30,2026-03-31,2026-03-31,2026-04-01,
0.1908,2026-04-06,2026-04-07,2026-04-07,2026-04-08,
0.1796,2026-04-13,2026-04-14,2026-04-14,2026-04-15,
0.1433,2026-04-20,2026-04-21,2026-04-21,2026-04-22,
0.1795,2026-04-27,2026-04-28,2026-04-28,2026-04-29,
0.2177,2026-05-04,2026-05-05,2026-05-05,2026-05-06,
0.2386,2026-05-11,2026-05-12,2026-05-12,2026-05-13,
